phrase	count	pmi	parts_gloss	ref
אלהימ לית	43	4.89	אלוהים, אל · שלילת קיום: אין, לא קי	פיוט #2 — צלות יהושע בן נון
ויצחק ויעקב	43	11.6	לצחוק · סוף, אחרית	פיוט #5 — אזל שלם יום שבתה
את יומ	43	4.11	אתה (כינוי גוף שני זכר · יחידת זמן: יום, שבת	פיוט #10 — ב מימריו ן
יהוה אל משה	43	8.53	יהוה, שם האלהים · אלוהות, אלהים · משה (שם פרטי)	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
לעונינו ולחטאותינו	43	12.17	חטא, עוון, ארורה היא s · ולחטאותינו	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
אהיה אשר אהיה אה	43	18.42	קריאת פנייה, אהה · דברים · קריאת פנייה, אהה · הנה	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
אשר לא	43	1.83	דברים · מילת שלילה והאיסור	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
בשמ ושמע	43	7.91	בשם · ושמע	פיוט #113 — צלוה לילת חדש הראישון רמשה
פתח רחמיכ	42	8.69	פתח, aperture (פיה) · אהבה, חמלה	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
יהוה אלהי	42	2.77	יהוה, שם האלהים · אלוהות, God	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
יברככ יהוה	42	5.69	ברך · יהוה, שם האלהים	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
ולחטאותינו ונחלתנו	42	12.11	ולחטאותינו · אחווה, possession	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
קהל ישראל	42	6.96	ציבור, קיבוץ עם, gathe · ישראל, שמו של יעקב	פיוט #24 — עלי ואלה שמות ג* ג אלישתבח
פניו אליכ	42	8.94	פנייה, turning · אלוהות, אלהים	פיוט #65 — ופסחתי עליכם : ולא יהיה בכם נגף
בנ תרח	42	6.87	בן (בפירוש בכתבי יד) · שער	פיוט #73 — צלות שבת צמות הפסח
לית לו	42	3.93	שלילת קיום: אין, לא קי · ועד	פיוט #287 — צלות שבת מועד חג המצות
שמו לעולמ	41	7.68	שם, כינוי · לנצח, לעולם	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
וסלחת לעונינו	41	11.98	כפרה, סליחה, ניקוי · חטא, עוון, ארורה היא s	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
מנ דאמר	41	3.78	דברים · הרי מה ש (with hk mh d	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
בריכ אלהנו	41	9.97	ברך · אלוהות, God	פיוט #87 — והוא קטף הברית
בשמ ושמע ישראל	41	15.82	בשם · ושמע · ישראל, שמו של יעקב	פיוט #113 — צלוה לילת חדש הראישון רמשה
הו משה	41	3.67	מתחבר למלה שלפניו, כגו · משה (שם פרטי)	פיוט #116 — ישתבח
לעונינו ולחטאותינו ונחלתנו	40	24.31	חטא, עוון, ארורה היא s · ולחטאותינו · אחווה, possession	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
על טור	40	5.29	על (מילת יחס) · הר, mountain	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
אה קהלה	40	6.43	הנה · עדה, congregation	פיוט #31 — עורן כן על מועדיה וראשי ירחיה
גנ עדנ	40	10.01	גן, כמו גן ה' כמו מצרי · תענוג, עידון (delight,	פיוט #84 — בכל שבתה וכל חלה
אה אדני	39	4.97	הנה · אדון, lord	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
יהוה אלה	39	1.8	יהוה, שם האלהים · אלוהות, God	פיוט #2 — צלות יהושע בן נון
על משה	39	1.34	על (מילת יחס) · משה (שם פרטי)	פיוט #75 — צלות שבת צמות הפסח
חג המצות	39	9.87	לחגוג, לחגוג חג · הקשבה, שמיעה	פיוט #138 — וקדש : בחדש הראישון * בארבעה עשר יום לחרש
מקרא קדש	39	8.51	קורא, reader · קידוש, הקדשה	פיוט #147 — צלות יום חדש הראישון אז אתא בשבת
ישתבח אלהימ לית	38	14.76	ברוך · אלוהים, אל · שלילת קיום: אין, לא קי	פיוט #2 — צלות יהושע בן נון
עד מותר	38	7.92	עד, כמקום (as far as)  · מאוד	פיוט #5 — אזל שלם יום שבתה
אברהמ ויצחק	38	9.05	שם פרטי: אברהם · לצחוק	פיוט #5 — אזל שלם יום שבתה
על הארצ	38	4.03	על (מילת יחס) · ארץ, אדמה	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
יומ השביעי	38	6.51	יחידת זמן: יום, שבת · השביעי	פיוט #10 — ב מימריו ן
סלח לעמכ	38	9.31	לסלוח · גוי, קיבוץ בני אדם	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
מועדי יהוה	38	5.48	זימון ומועד, מינוי · יהוה, שם האלהים	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
מנונ זה	38	5.06	מהם · זה, this	פיוט #66 — עבודה דעלמה תסתגד ותשתבח : וישתבח
והמקרא על	38	6.25	מנוחה · על (מילת יחס)	פיוט #79 — צלות שבת צמות הפסח
בעמל השלשה	38	8.88	בעל חיים, בהמה · השלשה	פיוט #81 — הצבעות • בכל יומם ולילה
ארכ אפימ	37	11.23	אורך, הימשכות, דיארכון · פנים	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
כל נשמה	37	6.18	כל, כולו · נשמה, רוח חיים	פיוט #57 — אמנות השבתות והמועדי□
כי אני	37	5.15	כי, ש־ (before object  · דברים	פיוט #61 — השבת • צלי ואקרי וברך בשם יהוה
אהרנ ובניו	37	9.47	אהרן (שם עצם: הכהן הגד · בין	פיוט #63 — *עורן כן מן מימר מרקה : עליו הרצון אמן
משה דמע	37	5.07	משה (שם פרטי) · דמעת העין	פיוט #65 — ופסחתי עליכם : ולא יהיה בכם נגף
וישמ לכ	37	5.81	יש, ישנו · אותך	פיוט #75 — צלות שבת צמות הפסח
על קדש	37	2.85	על (מילת יחס) · קידוש, הקדשה	פיוט #85 — צלות שבת צמות הפסח
כל הבשר	37	5.58	כל, כולו · flesh, בשר	פיוט #116 — ישתבח
ותנימ יומה מאה	37	18.4	גודל, שיעור גדול · היום, כיום · מאה (100)	פיוט #141 — התקה * הזאת למועדה
אני אני	36	6.58	דברים · דברים	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
וברוכ שמו	36	8.29	ברכה, blessing · שם, כינוי	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ששת ימימ	36	10.89	ששת · שבועה, oath	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
מנ השמימ	36	3.41	דברים · שמים, רקיע	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
וסלחת לעונינו ולחטאותינו	36	24.13	כפרה, סליחה, ניקוי · חטא, עוון, ארורה היא s · ולחטאותינו	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
יהוה פניו	36	4.26	יהוה, שם האלהים · פנייה, turning	פיוט #65 — ופסחתי עליכם : ולא יהיה בכם נגף
לכ שלומ	36	5.22	אותך · שם פרטי שלום	פיוט #65 — ופסחתי עליכם : ולא יהיה בכם נגף
אברהמ בנ	36	5.84	שם פרטי: אברהם · בן (בפירוש בכתבי יד)	פיוט #73 — צלות שבת צמות הפסח
אלהי מנ	36	1.85	אלוהות, God · דברים	פיוט #129 — צלות יום חדש הראישון אן אתא בשבת
מועד חג	36	7.96	מועד, זמן קבוע, אסיפה · לחגוג, לחגוג חג	פיוט #190 — צלות מועך הפסח במדינה
בחדש השביעי	36	10.08	חידוש, תקופת הירח, חוד · השביעי	פיוט #588 — צלות שבת צמות הסכות
בעמל משה	35	4.58	בעל חיים, בהמה · משה (שם פרטי)	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
וסלחת לעונינו ולחטאותינו ונחלתנו	35	36.32	כפרה, סליחה, ניקוי · חטא, עוון, ארורה היא s · ולחטאותינו · אחווה, possession	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
על טור סיני	35	15.39	על (מילת יחס) · הר, mountain · סין (שם מקום)	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
בשמ וקצי	35	9.14	בשם · גזירה וכריתה	פיוט #65 — ופסחתי עליכם : ולא יהיה בכם נגף
ירחמו יהוה	35	5.64	אהבה, חמלה · יהוה, שם האלהים	פיוט #82 — צלות שבת צמות הפסח
אל עליונ	34	4.58	אלוהות, אלהים · עליהם	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
יומ שבתה	34	6.61	יחידת זמן: יום, שבת · לשבת, לגור, לדור	פיוט #5 — אזל שלם יום שבתה
כל טוב	34	3.66	כל, כולו · טוב	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
וברוכ שמו לעולמ	34	18.74	ברכה, blessing · שם, כינוי · לנצח, לעולם	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
לכ נברכ	34	6.12	אותך · להיות גבוה, נישא	פיוט #10 — ב מימריו ן
יהוה וישמרכ	34	6.17	יהוה, שם האלהים · שמירת מצוות האל, קיום 	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
ואיתמר ופינחס	34	11.41	שם פרטי · פינחס בר אלעזר בר אהרן	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
הכהנ הגדול	34	7.65	כהן, משרת בקודש · גדול	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
עזי וזמרתי	34	12.35	כוח, עוז ורגלי · התוועדות, פגישה	פיוט #39 — רראה עורן
קטפ כל	34	5.82	משחה, סיכה על ראש · כל, כולו	פיוט #74 — לית בבל יוטיה : וטרקה אתהו עבורן * ישתבח
וגו ויתמר	34	6.32	קרב, פנים, תוך, חלק פנ · תמר, עץ דקל ופרי (palm	פיוט #74 — לית בבל יוטיה : וטרקה אתהו עבורן * ישתבח
חייכמ כלכמ	34	11.23	קיום, חיים, עשייה למען · כל, כולו	פיוט #78 — צלות שבת צמות הפסח
שמ יהוה	34	3.35	שם (בן נח) · יהוה, שם האלהים	פיוט #81 — הצבעות • בכל יומם ולילה
יהוה אמנ	34	2.88	יהוה, שם האלהים · עמידה, וקיום, התמדה, א	פיוט #82 — צלות שבת צמות הפסח
ישראל אשר	34	2.53	ישראל, שמו של יעקב · דברים	פיוט #90 — צלות שבת צמות הפסח
עד מתי	34	7.94	עד, כמקום (as far as)  · תחת, מתחת	פיוט #90 — צלות שבת צמות הפסח
טובי מי	34	6.91	אשרי, happy is · מילת שאלה לאדם: מי	פיוט #96 — צלות שבת צמות הפסח
יומ בו	34	3.74	יחידת זמן: יום, שבת · בו	פיוט #349 — צלית מועך הג המצות בהרגריזים
על חתנה	34	5.7	על (מילת יחס) · חתן, בן-זוג של בת	פיוט #611 — ישתבח קעימה דלא מאת
יהוה אחד	33	2.92	יהוה, שם האלהים · אחד	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
אלה על	33	1.28	אלוהות, God · על (מילת יחס)	פיוט #8 — אתי בשלם
זה השבת	33	5.64	זה, this · לשבת, לגור, לדור	פיוט #61 — השבת • צלי ואקרי וברך בשם יהוה
בריכ ומברכ	33	10.86	ברך · ברך	פיוט #67 — הכהן הגדול פינחס רצון יהוה עליו אמן אמן
ישמר חייכמ כלכמ	33	21.72	שמירת מצוות האל, קיום  · קיום, חיים, עשייה למען · כל, כולו	פיוט #78 — צלות שבת צמות הפסח
ותנימ יומה מאה שנה	33	27.69	גודל, שיעור גדול · היום, כיום · מאה (100) · שנה	פיוט #141 — התקה * הזאת למועדה
מנ ארבע	33	3.83	דברים · ארבע (עם שמות נקבה)	פיוט #143 — צלות יום חדש הראישון אץ אתא בשבת
אנ ראית	32	9.07	מילית שאלה למקום: איה, · ראייה, מראה	פיוט #40 — בלילי ואימם
אל קני	32	5.56	אלוהות, אלהים · מוט, עמוד	פיוט #56 — ז עודנה על שבתה חמישה דיזמן
אז ישר	32	9.36	אז, כך · ישראל	פיוט #59 — אמנות העיבתות והמועדים
מברכ עליכמ	32	9.86	ברך · עליכם	פיוט #78 — צלות שבת צמות הפסח
על פניו	32	3.81	על (מילת יחס) · פנייה, turning	פיוט #82 — צלות שבת צמות הפסח
כל מנונ	32	3.74	כל, כולו · מהם	פיוט #103 — צלות לילה חדש הראישון רמשה
אה סדר	32	5.68	הנה · סדר, שורה, טור	פיוט #112 — צלות לילת חדש הראישון רמשה
השמיני עצרת	32	10.82	שמיני (מספר סודר) · לחץ, pressure	פיוט #587 — מאיביבם : וביום שמחותכם ובמועדיכם * ובראשי חדשיכם
שבתונ זכרונ	32	10.76	שבתון, מנוחה · זכרון, אזכרה	פיוט #641 — בה פקודים וגזרה: מהם מועדיה דאתקדשו
כי אתה	31	4.55	כי, ש־ (before object  · אישה, woman	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
יהוה אלהינו יהוה	31	9.92	יהוה, שם האלהים · אלוהות, God · יהוה, שם האלהים	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
אלהינו יהוה אחד	31	12.37	אלוהות, God · יהוה, שם האלהים · אחד	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
יומ נקמ	31	7.02	יחידת זמן: יום, שבת · נקם, avenge	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
לפני יהוה	31	5.04	לפני, before · יהוה, שם האלהים	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
יהוה לכ	31	1.17	יהוה, שם האלהים · אותך	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
אברהמ לכ	31	4.29	שם פרטי: אברהם · אותך	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
שריו הצלות	31	10.84	התחלה, ראשית · לשקוע, להיטבע במים	פיוט #65 — ופסחתי עליכם : ולא יהיה בכם נגף
וכנ ישמר חייכמ כלכמ	31	32.28	כך, כן (ציון אופן) · שמירת מצוות האל, קיום  · קיום, חיים, עשייה למען · כל, כולו	פיוט #78 — צלות שבת צמות הפסח
ואז ישר	31	9.96	אז, כך · ישראל	פיוט #79 — צלות שבת צמות הפסח
יקבל צלואתכונ	31	11.27	נשא חטא, חובה, אשמה · העתירו	פיוט #95 — צלות שבת צמות הפסח
ועל פתח	31	7.05	height, גובה · פתח, aperture (פיה)	פיוט #98 — צלות לילת חדש הראישון רטשה
זה המועד	31	6.62	זה, this · מועד, זמן קבוע, אסיפה	פיוט #104 — צלות לילת חדש הראישון רמשה
עמו ישראל	31	4.89	ראו · ישראל, שמו של יעקב	פיוט #116 — ישתבח
יומ הכפור	31	7.72	יחידת זמן: יום, שבת · יקיצה, awakening	פיוט #593 — (ללא כותרת)
אברהמ ויצחק ויעקב	30	20.84	שם פרטי: אברהם · לצחוק · סוף, אחרית	פיוט #5 — אזל שלם יום שבתה
אלהינו לעולמ	30	7.14	אלוהות, God · לנצח, לעולם	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אתה בחסדכ	30	7.23	אישה, woman · טוב, גמילת טובה, חסד	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
עורנ כנ	30	8.96	אחר · אין	פיוט #10 — ב מימריו ן
יברככ יהוה וישמרכ	30	17.51	ברך · יהוה, שם האלהים · שמירת מצוות האל, קיום 	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
שלומ יהוה עליו	30	13.06	שם פרטי שלום · יהוה, שם האלהים · עליו	פיוט #63 — *עורן כן מן מימר מרקה : עליו הרצון אמן
הוא משה	30	3.56	היה, to be (intrans.) · משה (שם פרטי)	פיוט #65 — ופסחתי עליכם : ולא יהיה בכם נגף
יהוה פניו אליכ	30	15.09	יהוה, שם האלהים · פנייה, turning · אלוהות, אלהים	פיוט #65 — ופסחתי עליכם : ולא יהיה בכם נגף
